OBJECTID,PARK_NUMBER,PARK_NAME,SAP_ASSET_ID,HOUSE_NUMBER,STREET_ADDRESS,SUBURB,POST_CODE,LONG,LAT,SHAPE_Length,SHAPE_Area
617,D0525,RICHARD RUSSELL PARK,B-RE-1431,184,CARLTON TERRACE,MANLY,4179,153.18308573,-27.455739775,384.51454415564,3177.45886229095
618,D0526,HARMAN'S PARK,B-RE-1430,38,CURTIS STREET,MANLY,4179,153.180512188308,-27.4602846713198,902.056409406178,44377.9220284114
619,D0527,WONDALL ROAD PARK,B-RE-1429,79,WONDALL ROAD,WYNNUM WEST,4178,153.164260180096,-27.4565499248801,699.024606972992,12733.27047041
620,D0528,STANNARD ROAD PARK,B-RE-1428,55,STANNARD ROAD,MANLY WEST,4179,153.168760646777,-27.4605730131321,1005.31431229961,28200.2948329871
621,D0529,HEERS PARK,B-RE-1427,202,WONDALL ROAD,MANLY WEST,4179,153.161835722199,-27.4640314921586,2554.17587816727,67638.659642962
622,D0530,LOTA CAMPING RESERVE,B-RE-1426,710,THE ESPLANADE,LOTA,4179,153.19216007041,-27.4656841595976,1255.68448318283,26562.9542702709
623,D0532,ED DEVENPORT ROTARY PARK,B-RE-1425,33,BELTANA STREET,LOTA,4179,153.189507677841,-27.4691906032797,1377.82316614407,35384.876290094
624,D0533,LOTA CREEK RESERVE,B-RE-1424,58,BELTANA STREET,LOTA,4179,153.188584922474,-27.4726568618034,765.321278881907,18432.2157472971
625,D0534,COX PARK,B-RE-1423,64,RICHARD STREET,LOTA,4179,153.185173527486,-27.469150451274,599.826220740552,18301.8470445914
626,D2278,WALLABY STREET PARK,B-RE-2905,139,HEDLEY AVENUE,NUNDAH,4012,153.066084866,-27.411085628,1162.42212179569,22798.3115618841
627,D2279,IVY STREET PARK,B-RE-2907,10,IVY STREET,CANNON HILL,4170,153.089217481613,-27.4629591886147,400.529176133078,5643.48821618591
628,D2280,SUNBURY STREET PARK,B-RE-2908,8,SUNBURY STREET,PALLARA,4110,152.990683758252,-27.6272375057579,153.893308365034,1246.21125165979
629,D2281,BILSON STREET PARK,B-RE-2909,33,SUNBURY STREET,PALLARA,4110,152.990586181712,-27.6283447775566,392.005095074979,4878.14492097239
630,D2282,BILLAN STREET PARK,B-RE-2910,65,BILLAN STREET,CARINA,4152,153.100852779137,-27.4839570344851,203.192688160921,2464.40648284804
631,D2283,MULLER ROAD PARK,B-RE-2911,7,MULLER ROAD,BOONDALL,4034,153.05143964565,-27.3603494254152,240.655495980544,3332.18342516415
632,D2284,STATION AVENUE PARK,B-RE-2912,27A,STATION AVENUE,NORTHGATE,4013,153.072466210451,-27.3877491483772,120.379266628353,805.788183787671
633,D2285,NELSON STREET PARK,B-RE-2913,157,NELSON STREET,KALINGA,4030,153.042183819744,-27.4085049106312,286.937861652095,3537.64663985498
634,D2286,TAL STREET PARK,B-RE-2914,103,WONDALL ROAD,WYNNUM WEST,4178,153.163568554436,-27.4584031373457,104.525314509099,640.114617502999
635,D2287,WEYERS ROAD PARK,B-RE-2915,78,WEYERS ROAD,NUDGEE,4014,153.08858821,-27.360593127,534.759315700588,5068.86663848153
636,D2288,CHURCHILL STREET PARK,B-RE-2916,7,CHURCHILL STREET,COORPAROO,4151,153.05240992515,-27.4912976443009,191.12891274275,1434.36100533674
637,D2289,GARRO STREET PARK ,B-RE-2917,22,BORELLA ROAD,SUNNYBANK HILLS,4109,153.053055229093,-27.5971185528227,200.751029339038,2015.0652687675
638,D2290,HAMILTON ROAD PARK,B-RE-2918,694,HAMILTON ROAD,CHERMSIDE WEST,4032,153.013038833911,-27.3836914524983,197.202836313873,1275.80562526361
639,D2291,COLWEL STREET PARK ,B-RE-2919,82,COLWEL STREET,OXLEY,4075,152.983232893106,-27.56238040647,353.324621159927,5246.93567249905
640,D2292,SANDGATE ROAD PARK,B-RE-2920,2099,SANDGATE ROAD,VIRGINIA,4014,153.062969224165,-27.3654424221617,294.574295699634,2543.52643800369
641,D2293,GRANARD ROAD PARK ,B-RE-2921,58,GRANARD ROAD,ARCHERFIELD,4108,153.018230046439,-27.5584660277784,141.042049379762,1218.58363355051
642,D2294,LANG STREET EAST PARK,B-RE-2922,172,LANG STREET,SUNNYBANK HILLS,4109,153.054790708284,-27.586713215065,393.746000910118,3854.99545979558
643,D2295,CHANDOS STREET PARK,B-RE-2923,44,CHANDOS STREET,WYNNUM WEST,4178,153.162655902284,-27.4490112700663,182.468616849487,1851.0302356492
644,D2296,BILAMBIL STREET PARK,B-RE-2924,47B,BILAMBIL STREET,BANYO,4014,153.08154555,-27.3859796519999,176.117645178706,861.686460222916
645,D2297,GRAY STREET PARK,B-RE-2925,77,GRAY STREET,CARINA,4152,153.101974362841,-27.4852166776189,181.578867771773,811.292219586045
646,D2298,DAJARRA STREET PARK,B-RE-2926,24,DAJARRA STREET,THE GAP,4061,152.950159606194,-27.4402331566243,111.775593079214,774.91867309611
647,D2299,LOFTUS STREET PARK,B-RE-2927,40,LOFTUS STREET,DEAGON,4017,153.059705688122,-27.3283391616383,119.789292430004,774.081610990069
648,D2300,DUNN ROAD PARK,B-RE-2928,159,DUNN ROAD,ROCKLEA,4106,153.005185623306,-27.5515487451534,714.364619455731,14311.0768350011
649,D2301,GASOMETER PARK,B-RE-2931,82,SKYRING TERRACE,NEWSTEAD,4006,153.043373302787,-27.450439049104,215.271653131376,2919.21591935888
650,D2302,RITCHIE ROAD RESERVE,B-RE-2933,104,RITCHIE ROAD,PALLARA,4110,152.990827746972,-27.6238995501515,1714.2291715563,82874.4223155702
651,D2303,WYNNUM PLAZA PARK,B-RE-2934,2029,WYNNUM ROAD,WYNNUM WEST,4178,153.154813702781,-27.4555044512135,232.951420841704,3296.90623957915
652,D2304,REDHEAD STREET PARK,B-RE-2935,57,REDHEAD STREET,DOOLANDELLA,4077,152.982429290716,-27.6148156172605,484.860850503807,14090.4642254399
653,D2305,MURPHY ROAD PARK,B-RE-2938,285,MURPHY ROAD,GEEBUNG,4034,153.035274857128,-27.3731696702749,237.601875162276,2236.82016706955
654,D2306,ELLISON ROAD PARK,B-RE-2937,262,ELLISON ROAD,GEEBUNG,4034,153.03629077868,-27.3746205952091,143.04310080494,1055.89291053087
655,D2307,CONSTANCE STREET PARK ,B-RE-2942,9,CONSTANCE STREET,ALGESTER,4115,153.039008579821,-27.6063108369835,173.035823231614,1187.12901082406
656,D2308,SPOONBILL STREET RESERVE,B-RE-2944,87,SPOONBILL STREET,NUDGEE,4014,153.082043829112,-27.3586578717328,3607.6565254638,227286.38233759
657,D2309,FENWICK CRESCENT PARK,B-RE-2945,39,FENWICK CRESCENT,ALGISTER,4115,153.032824603383,-27.6019096239233,755.048686864648,16836.4218317681
658,D2310,REMICK STREET BUSHLAND RESERVE,B-RE-2946,818,RODE ROAD,STAFFORD HEIGHTS,4053,153.005875085414,-27.3919480404517,1077.77265435755,59851.0494164972
659,D2311,EVANS ROAD PARK,B-RE-2947,,EVANS ROAD,MOOROOKA,4105,153.02186147706,-27.5418499605515,1004.39225776472,14155.085485812
660,D2312,BARTON ROAD POCKET PARK,B-RE-0350,,BARTON ROAD,HAWTHORNE,4171,153.053531032794,-27.4582354831066,63.7817198259555,227.372295432742
661,D2313,JACKSON STREET PARK,B-RE-2950,,JACKSON STREET,HAMILTON,4007,153.077262657732,-27.4320326463602,104.732768755932,648.731815332745
662,D2316,KESTREL WAY PARK ,B-RE-2952,9,KESTREL WAY,FITZGIBBON,4018,153.028046018963,-27.3392648468869,73.9679405029124,278.012403561064
663,D2317,ALBANY CREEK ROADSIDE PARK,B-RE-2953,,ALBANY CREEK ROAD,BRIDGEMAN DOWNS,4035,152.980000506902,-27.349901888126,384.652037789624,4495.41580216063
664,D2318,ANN CRESCENT PARK,B-RE-2954,66,ANN CRESCENT,ROCHEDALE,4123,153.114658611186,-27.5825924695553,669.605799312361,8407.23739400041
665,D2319,BOCK STREET PARK,B-RE-2955,10,BOCK STREET,ROCHEDALE,4123,153.115389836187,-27.5839234053378,598.965094764696,20154.4966106403
666,D2320,LEVOH STREET PARK,B-RE-2956,63,LEVOH STREET,ROCHEDALE,4123,153.110106838438,-27.5838605447148,406.710130068886,10192.72418559
667,D2321,COMMAND STREET PARK,B-RE-2957,10,COMMAND STREET,ROCHEDALE,4123,153.126935072475,-27.5735037498423,281.633881393206,4986.69125241106
668,D2322,VENTURA STREET PARK,B-RE-2958,33,VENTURA STREET,PALLARA,4110,153.008466020374,-27.6183184567334,491.50320590891,8005.04212076079
669,D2323,GOODERHAM ROAD PARK,B-RE-2962,450,GOODERHAM ROAD,WILLAWONG,4110,153.009555115943,-27.6048393813758,1365.76484873859,101471.068285056
670,D2324,BOWHILL ROAD RESERVE,B-RE-2963,75,BOWHILL ROAD,WILLAWONG,4110,153.007535349623,-27.5851847738054,629.032968287959,24702.6729844707
671,D2325,PLAZA PLACE RESERVE,B-RE-2967,69,PLAZA PLACE,CARSELDINE,4034,153.026146385,-27.353082838,3581.22379888753,181994.318763381
672,D2372,LYELL CRESCENT PARK,B-RE-0348,40,LYELL CRESCENT,MCDOWALL,4053,152.988942873244,-27.3924258006967,392.759732793495,4914.6272728985
673,D2392,POOH CORNER,B-RE-0347,100,WOLSTON ROAD,WACOL,4076,152.928259056185,-27.5753736668043,6196.37807541125,1374596.95959021
674,D2413,BOZZATO PLACE PARK,B-RE-0346,118,BOZZATO PLACE,KENMORE,4069,152.937021013462,-27.5033586893515,69.7458938304006,223.608201325093
675,D2432,GOODMAN PLACE PARK,B-RE-0345,168,MURARRIE ROAD,MURARRIE,4172,153.110097873503,-27.4638706465009,300.026135740652,2256.20895097456
676,D2452,BLUNDER CREEK RESERVE,B-RE-0344,1202,BLUNDER ROAD,DOOLANDELLA,4077,152.988658255715,-27.6173117144699,2834.76854450547,268750.356296943
677,D2472,MAIDSTONE STREET PARK,B-RE-0343,9,MAIDSTONE STREET,KELVIN GROVE,4059,153.015664053424,-27.4545555234223,250.01333975973,2644.62745693317
678,D2473,MUSK AVENUE PARK,B-RE-0342,33,MUSK AVENUE,KELVIN GROVE,4059,153.014482034698,-27.4544176961677,213.064488641468,1757.63584005957
679,D2492,MERCURY STREET PARK,B-RE-0341,103,MERCURY STREET,MOGGILL,4070,152.869899367262,-27.5797256157626,553.681185301828,10573.2696725349
680,D2493,PAMIR STREET PARK,B-RE-0340,80,PAMIR STREET,NUDGEE,4014,153.088188463789,-27.3629397341871,491.94477643097,9149.76694452513
681,D2494,TANDAWANNA LANE PARK,B-RE-0339,23,TANDAWANNA LANE,FIG TREE POCKET,4069,152.965206623268,-27.5295938782126,274.382236985965,2127.07123685345
682,D2495,FABIAN PLACE PARK,B-RE-0338,27,FABIAN PLACE,BRACKEN RIDGE,4017,153.044556288968,-27.326933219252,296.205730117329,4098.64936535672
683,D2496,O'REILLY STREET PARK,B-RE-0337,10,O'REILLY STREET,WAKERLEY,4154,153.153846428665,-27.4776461347446,436.695438534132,9938.70878588553
684,D2512,CORONA AVENUE PARK,B-RE-0336,66,CORONA AVENUE,ASHGROVE,4060,152.999686808527,-27.4415962234669,268.543451379812,2339.43728729671
685,D2513,GUMDALE STREET PARK,B-RE-0335,23,GUMDALE STREET,WAKERLEY,4154,153.166583548612,-27.4898418644953,314.029804850299,5779.50397602629
686,D2532,TALL TREES CIRCUIT PARK,B-RE-0334,770,NEW CLEVELAND ROAD,GUMDALE,4154,153.159002124036,-27.4885595528201,1701.48070312794,76467.7323997455
687,D2533,BRUSHWOOD CIRCUIT PARK,B-RE-0333,53,BRUSHWOOD CIRCUIT,FOREST LAKE,4078,152.95538265731,-27.6069790870584,266.418505532744,3717.11614404126
688,D2552,HIGHBURY PLACE PARK,B-RE-0332,302,LEVITT ROAD,UPPER KEDRON,4055,152.925403164133,-27.4201502956414,859.846942247519,19342.6879989296
689,D2554,MCLEOD COURT PARK,B-RE-0330,36,MARGARET STREET,MCDOWALL,4053,152.995714080209,-27.3891613745186,272.284184269583,2864.12229009643
690,D2555,MARGARET STREET PARK,B-RE-0329,29,MARGARET STREET,MCDOWALL,4053,152.995131041096,-27.3897374844044,242.074560556746,3264.84942014225
691,D2556,CHURCHILL CIRCUIT PARK,B-RE-0328,27,CHURCHILL CIRCUIT,BANYO,4014,153.079816283975,-27.3828293462482,1299.61900331154,30896.9887229031
692,D2572,EARLSON PLACE,B-RE-0286,30,BROWNE STREET,CORINDA,4075,152.981075808625,-27.5388786613428,283.465804729582,3079.68444533496
693,D2592,CASTLEBAR STREET PARK ,B-RE-0244,39A,CASTLEBAR STREET,KANGAROO POINT,4169,153.039728742812,-27.4747735426266,162.309707834715,482.415329827866
694,D2593,LONE PINE PARK,B-RE-0243,642,JESMOND ROAD,FIG TREE POCKET,4069,152.969360730179,-27.5307358269637,763.306977591411,16359.5323616502
695,D2612,EUNGELLA TERRACE PARK,B-RE-0242,119,SANCTUARY DRIVE,FOREST LAKE,4078,152.980881163727,-27.6338270391941,1286.29900990247,27165.8436894028
696,D2613,WESTAWAY PARK (MOGGILL),B-RE-0241,4,WITTY ROAD,MOGGILL,4070,152.873307480552,-27.5704604971137,592.679204198168,18115.9126277872
697,D2614,SILKY OAK AVENUE PARK,B-RE-0240,61,SILKY OAK AVENUE,MOGGILL,4070,152.869801141267,-27.5705245775344,623.223530886949,10508.0063430404
698,D2615,BLUEGUM RISE PARK,B-RE-0239,30,BLUEGUM RISE,ANSTEAD,4070,152.859249174758,-27.5618551356435,589.823626588745,9286.06119989689
699,D2616,DOULTON STREET PARK,B-RE-0238,30,DOULTON STREET,CALAMVALE,4116,153.051012892478,-27.6375820253301,2306.32135384129,116379.622533488
700,D2617,GAWLER CRESCENT PARK,B-RE-0237,219,NORRIS ROAD,BRACKEN RIDGE,4017,153.024310007437,-27.3255388902275,308.227278141534,2355.26461851604
701,D2633,QUINLAN STREET PARK,B-RE-0236,54,BARRETT STREET,BRACKEN RIDGE,4017,153.049212608717,-27.320757039088,346.472198828881,5497.58308530337
702,D2634,TORRENS CRESCENT PARK,B-RE-0235,37,TORRENS CRESCENT,WAKERLEY,4154,153.159459915425,-27.4818372702643,1218.09334331502,45468.0128600352
703,D2635,HAZEL STREET PARK,B-RE-0234,8,HAZEL STREET,HEATHWOOD,4110,152.988710893716,-27.6343793431318,271.437672696507,5103.35311724119
704,D2672,BULIMBA RIVERSIDE PARK,B-RE-0233,57,ADDISON AVENUE,BULIMBA,4171,153.053821655398,-27.4538131199428,1607.77099650996,25128.1884015385
705,D2692,PORTWINE STREET PARK,B-RE-0232,8,PORTWINE STREET,MURARRIE,4172,153.091177373402,-27.4593478408344,437.157794035691,12718.9601875622
706,D2712,WACOL BUSHLANDS,B-RE-0231,3063,IPSWICH ROAD,WACOL,4076,152.937894533948,-27.5744309855311,3198.34316506517,401865.390308005
707,D2732,WESTLAKE BUSH PARK,B-RE-0230,154,HORIZON DRIVE,WESTLAKE,4074,152.918773167342,-27.5503740601672,699.639948389155,32090.5955994892
708,D2812,BARRALLIER PLACE PARK,B-RE-0229,11,BARRALLIER PLACE,DREWVALE,4116,153.052398721936,-27.6552882947203,412.091383577235,7490.40563727801
709,D2833,MOGGILL DISTRICT SPORT PARK,B-RE-0228,3660,MOGGILL ROAD,MOGGILL,4070,152.863911219534,-27.5805169950822,1255.74756933247,91598.9552902588
710,D2872,BOBLYNNE STREET PARK (NO. 64),B-RE-0227,64,BOBLYNNE STREET,CHAPEL HILL,4069,152.948940723713,-27.5039140333186,915.229816775533,16787.6991818761
711,D2892,OLD OXLEY TREATMENT WORKS PARK,B-RE-0226,455,BOWHILL ROAD,DURACK,4077,152.988010232014,-27.5850178985017,1565.00973376347,132813.525120951
712,D2912,LAPFORD PARK,B-RE-0225,15,LAPFORD CIRCUIT,DREWVALE,4116,153.049669271745,-27.6515254160925,248.843670776386,3989.68163095938
713,D2932,KELLETT FAMILY PARK,B-RE-0224,36,KELLETT STREET,AUCHENFLOWER,4066,152.992185815733,-27.4754866670867,111.752177961414,466.525819472598
714,D2972,BULWER PARK,B-RE-0223,100,MORETON STREET,BULWER,4025,153.368086148396,-27.0721130293931,933.729002143803,52238.5350500279
715,D2992,STRADBROKE STREET PARK,B-RE-0222,111,STRADBROKE STREET,FOREST LAKE,4078,152.971548884897,-27.6363060317974,1288.77067647792,60529.8214084014
716,D2993,MINGOOLA PARK,B-RE-0221,22,MINGOOLA STREET,MURARRIE,4172,153.101231425954,-27.4587016770743,236.257736089413,3160.20587866255
717,D2994,SETTLER STREET PARK,B-RE-0220,30,SETTLER STREET,EIGHT MILE PLAINS,4113,153.103550577825,-27.5900927057725,373.107766477922,8047.75421868192
718,D2995,ARENGA STREET PARK,B-RE-0219,2,ARENGA STREET,WAKERLEY,4154,153.152337774189,-27.4762854531518,247.934870980271,2624.85770711082
719,D2996,GREY GUMS PARK,B-RE-0218,22,ROBINSON PLACE,KELVIN GROVE,4059,153.013578760284,-27.4516295634316,370.030120427133,4490.65064671601
720,D3012,BILLARA PLACE PARK,B-RE-0368,43,BILLARA PLACE,BANYO,4014,153.085092862903,-27.3792296393753,89.2070598917018,343.051212370216
721,D3013,PATONGA STREET PARK,B-RE-0367,25,PATONGA STREET,BANYO,4014,153.084976882697,-27.3783804545801,278.487065212321,4174.48189445808
722,D3014,EARNSHAW ROAD PARK,B-RE-0366,25,PATONGA STREET,BANYO,4014,153.084519805261,-27.3777919360478,124.308325408522,833.870994845837
723,D3015,COWIE ROAD PARK,B-RE-0365,109,COWIE ROAD,CARSELDINE,4034,153.020037871111,-27.3392425815083,259.952734344054,3742.87810982147
724,D3052,NELSON PLACE PARK (FERNY GROVE),B-RE-0364,16,NELSON PLACE,FERNY GROVE,4055,152.928643785627,-27.4084597902179,1228.53234934853,37864.9876097679
725,D3053,SANDI STREET PARK,B-RE-1130,22,SANDI STREET,OXLEY,4075,152.968920506,-27.5645262589999,152.93330317313,474.91401117024
726,D3054,HEATHWOOD PARK,B-RE-1129,140,PARKWOOD DRIVE,HEATHWOOD,4110,152.987672188674,-27.6377538416276,828.303024177959,39985.3948314607
727,D3055,LANCEWOOD PLACE PARK,B-RE-1128,24,LANCEWOOD PLACE,MOGGILL,4070,152.868014266952,-27.5664906609381,412.686239623236,9050.6998337615
728,D3057,PAMELA STREET PARK,B-RE-1127,24,PAMELA STREET,WYNNUM WEST,4178,153.150095570538,-27.4464183796613,429.902788728231,3383.80468583407
729,D3092,F.R.CATERSON PARK,B-RE-1126,730,MT GRAVATT-CAPALABA ROAD,MANSFIELD,4122,153.113967538872,-27.5424409982308,2185.17831787199,148697.051776081
730,D3112,CARRINGTON STREET PARK,B-RE-1125,104,THOMAS STREET,AUCHENFLOWER,4066,152.99264861359,-27.4681294843252,92.2909993791245,474.372628272738
731,D3113,PROUT ROAD PARK (NO. 485),B-RE-1124,485,PROUT ROAD,BURBANK,4156,153.159774241812,-27.5330463208635,2763.39088339456,217704.64536651
732,D3114,ACACIA FOREST PARK,B-RE-1123,152,ACACIA ROAD,KARAWATHA,4117,153.09607520616,-27.6241690178172,1413.24421289887,83475.100450732
733,D3115,HABITAT PLACE SOUTH PARK,B-RE-1122,63,HABITAT PLACE,DREWVALE,4116,153.054734415365,-27.6420819436845,320.591422922016,5478.15751552971
734,D3116,MT CROSBY ROAD PARK,B-RE-1121,758,MT CROSBY ROAD,ANSTEAD,4070,152.850554475908,-27.5341242560279,1509.00924053733,122886.826911493
735,D3117,KATHLEEN STREET PARK,B-RE-1120,26,KATHLEEN STREET,RICHLANDS,4077,152.956848430929,-27.5941777907708,393.888451629479,9563.58361119981
736,D3118,MCKINLAY-DAVEY PARK,B-RE-1119,165,HOLMEAD ROAD,EIGHT MILE PLAINS,4113,153.102340573821,-27.5747863787086,335.815415187951,6643.2571662123
737,D3119,TEAL PLACE PARK,B-RE-1118,13,TEAL PLACE,TAIGUM,4018,153.04681790963,-27.3425802139732,397.446606353373,5865.56883715494
738,D3120,SANDY CAMP PARK,B-RE-1117,115,SANDY CAMP ROAD,LYTTON,4178,153.148585161244,-27.4340181263085,3437.36105329482,358420.396190423
739,D3121,TAYLOR PLACE PARK,B-RE-1198,53,TAYLOR PLACE,MACKENZIE,4156,153.119817459713,-27.5422667041693,229.913330821053,3083.44311185418
740,D3122,JARRAH STREET PARK,B-RE-1197,154,JARRAH STREET,MOGGILL,4070,152.868382047541,-27.5740008100969,592.456737222443,11962.748573058
741,D3124,CECCATO PARK,B-RE-1195,30,RAY STREET,CARSELDINE,4034,153.020177622928,-27.3423135179941,263.897146341679,3263.94364413155
742,D3125,KENNARD STREET PARK,B-RE-1194,31,KENNARD STREET,CORINDA,4075,152.989547969968,-27.5365455779691,250.961942768141,2824.13338850721
743,D3173,SERGEANT DAN STILLER MEMORIAL RESERVE,B-RE-1192,407,WADEVILLE STREET,HEATHWOOD,4110,152.992717446,-27.644892633,16837.2530023018,1546679.63515556
744,D3174,GATEWAY PARK,B-RE-1191,274,MURARRIE ROAD,TINGALPA,4173,153.118518989534,-27.4631752170116,3038.02439063148,178713.743377155
745,D3175,TRYON STREET PARK,B-RE-1190,21,TRYON STREET,UPPER MOUNT GRAVATT,4122,153.084450102012,-27.5598556087452,378.753468320974,8023.73861349472
746,D3176,SHELLEY ROAD PARK,B-RE-1189,140,SHELLEY ROAD,KHOLO,4306,152.743608970326,-27.5014337792549,9116.46848187263,2774086.39671761
747,D3177,COL WESTAWAY OVAL,B-RE-1188,3448,MOGGILL ROAD,MOGGILL,4070,152.873348599171,-27.5725028758519,528.230797723571,17749.6934093163
748,D3178,HALE STREET PARK,B-RE-1187,182,HALE STREET,PADDINGTON,4064,153.011224322912,-27.4614643298872,105.300618604486,422.083522273444
749,D3192,WATERFRONT PARK,B-RE-1186,35,WATERLOO STREET,NEWSTEAD,4006,153.046223526343,-27.4489229430654,918.287484113103,27941.1236492788
750,D3232,OSWALD STREET PARK ,B-RE-1185,93,GROSS AVENUE,HEMMANT,4174,153.12645672992,-27.4537261390275,462.774325565301,12144.0599341742
751,D3234,ROSS ROAD PARK,B-RE-1184,85,ROSS ROAD,UPPER KEDRON,4055,152.905462084804,-27.4202980983335,2192.93804770896,199576.033446722
752,D3292,WATTLE CRESENT PARK,B-RE-1183,15,WATTLE CRESCENT,MOGGILL,4070,152.876349933102,-27.572623644186,270.131153541881,4882.15954031349
753,D3293,PASK FAMILY PARK,B-RE-1182,12,ASCENT STREET,ROCHEDALE,4123,153.116120489913,-27.574132970771,570.517945168085,9767.89100573042
754,D3294,BILL GILLESPIE PARK,B-RE-0277,95,PINE ROAD,RICHLANDS,4077,152.953360509283,-27.5921515945532,904.021762799173,49310.906108272
755,D3296,HONEYEATER CRESENT PARK,B-RE-0275,30,WHISTLER PLACE,MOGGILL,4070,152.859850399744,-27.5664081833735,371.909133171897,8375.30184116006
756,D3297,ROCHEDALE SPORTS PARK,B-RE-0274,921,ROCHEDALE ROAD,ROCHEDALE,4123,153.121431949654,-27.5899926238643,1781.0467784281,143701.786123476
757,D3299,KINGFISHER DRIVE PARK,B-RE-0273,32,KINGFISHER DRIVE,UPPER KEDRON,4055,152.92282106555,-27.4240360737093,395.673935537652,5003.93665250422
758,D3312,STEELWOOD STREET PARK,B-RE-0272,16,BIGNONIA CLOSE,HEATHWOOD,4110,152.993669047731,-27.6389886676709,724.182406299511,10976.5680586635
759,D3313,BEAMS ROAD PARK (NO. 399),B-RE-0271,399,BEAMS ROAD,TAIGUM,4018,153.036175226,-27.34839973,875.555250433637,11377.1285556632
760,D3315,TUCKEROO STREET PARK,B-RE-0270,51,TUCKEROO STREET,MCDOWALL,4053,152.98935627784,-27.3862393685508,502.858289171618,10239.7018284568
761,D3316,STRAWBERRY FIELDS PLACE,B-RE-0269,11,MCDERMOTT PARADE,ROCHEDALE,4123,153.113164383762,-27.5714842150854,284.099554368161,4997.6959446004
762,D3318,PEACHTREE PLACE PARK,B-RE-0268,38,PEACHTREE PLACE,STRETTON,4116,153.064390431,-27.6298618439999,1208.89498772949,16248.1376634552
763,D3332,HARGREAVES ROAD PARK (NO. 20),B-RE-0267,20,HARGREAVES ROAD,MANLY WEST,4179,153.152211471327,-27.4739586757214,1112.40308647393,29824.104584141
764,D3373,LYTTON ROAD PARK (NO. 1665),B-RE-0266,1665,LYTTON ROAD,LYTTON,4178,153.140226012981,-27.4333797417887,416.470694797013,8631.38016940093
765,D3398,KEN FLETCHER PARK,B-RE-0265,27,SOFTSTONE STREET,TENNYSON,4105,153.007267007464,-27.523999977241,1934.1624812202,39854.0689433679
766,D3473,LINACRE STREET PARK,B-RE-0263,24,LINACRE STREET,DURACK,4077,152.992651947248,-27.5951315979232,373.566407728335,7886.5603978316
767,D3476,OLD NORTHERN ROAD PARK (NO. 315),B-RE-0262,315,OLD NORTHERN ROAD,MCDOWALL,4053,152.982836401355,-27.3805956693518,568.59696896012,18351.2653190639
768,D3492,WILDEN STREET PARK,B-RE-0261,22A,WILDEN STREET,PADDINGTON,4064,152.991513845643,-27.4610050260166,181.283445153681,772.609849972143
769,D3512,BUSBY STREET PARK,B-RE-0260,32,BUSBY STREET,ALGESTER,4115,153.035805920213,-27.6074297101673,148.937490787468,1044.75418135273
770,D3533,CARL STREET PARK,B-RE-0259,41,CARL STREET,WOOLLOONGABBA,4102,153.037309379527,-27.4998923886578,262.502468695492,4278.87383532451
771,D3534,JURGENS STREET PARK,B-RE-0258,45,LOGAN ROAD,WOOLLOONGABBA,4102,153.037298083549,-27.4881519608306,227.062424355209,2430.18177193373
772,D3552,FORD ROAD PARK (NO. 219),B-RE-0257,219,FORD ROAD,BURBANK,4156,153.144009996661,-27.5839278159431,2425.74776651716,164314.612679724
773,D3556,SPOTTED GUM PARK,B-RE-0256,30,SPOTTED GUM STREET,HEATHWOOD,4110,152.991371851369,-27.6389384162861,220.095369553275,2526.6503973258
774,D3557,JIMNA STREET PARK,B-RE-0255,5,JIMNA STREET,THE GAP,4061,152.949963087454,-27.4427058461323,204.714369606959,2944.39059842616
775,D3559,LUGG STREET PARK (NO. 94),B-RE-0254,94,LUGG STREET,BARDON,4065,152.991303317309,-27.4490654195096,142.714439729656,1177.28735261329
776,D3560,MARELLA STREET PARK,B-RE-0253,2,MARELLA STREET,BOONDALL,4034,153.059792070489,-27.3605001411109,95.2088200368976,556.060205897677
777,D3563,MOSSVALE STREET PARK (NO. 34),B-RE-0252,34,MOSSVALE STREET,ASHGROVE,4060,152.998293161,-27.4485789829999,385.018120451645,3710.73841162566
778,D3564,MURARRIE ROAD PARK (NO. 274),B-RE-0251,274,MURARRIE ROAD,TINGALPA,4173,153.115385895146,-27.4704192984602,1610.50124367455,129344.06504695
779,D3572,NEW IVO STREET PARK,B-RE-0250,26,NEW IVO STREET,NUNDAH,4012,153.067318125432,-27.3985827618649,234.704122661332,2832.33454489934
780,D3592,SANDSTONE PLACE PARK,B-RE-0248,9,SANDSTONE PLACE,PARKINSON,4115,153.037612241412,-27.6576974209564,385.264531216173,5863.09328176398
781,D3613,WATT PARK,B-RE-0247,5,WELLINGTON ROAD,EAST BRISBANE,4169,153.039654504114,-27.4897062901938,147.375987090561,1023.98640636584
782,D3614,LILLY PILLY PLACE PARK,B-RE-0246,37,LILLY PILLY PLACE,MOGGILL,4070,152.876619494739,-27.5743468156236,284.023284893643,2108.4218424433
783,D3633,CARTER STREET PARK,B-RE-0245,55A,CARTER STREET,NORTHGATE,4013,153.073250398,-27.387346527,1086.7737507573,10666.2963781156
784,D3652,STRETTON WETLAND RESERVE,B-RE-0701,942,GOWAN ROAD,STRETTON,4116,153.060265746089,-27.635500919656,3564.51300613641,227542.694327422
785,D3672,HONEYEATER STREET PARK,B-RE-1157,21,HONEYEATER STREET,UPPER KEDRON,4055,152.915335925,-27.422650758,6011.97370226988,263550.131857163
